episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,adaptive_epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,exploration_balance,hold_pct,buy_pct,sell_pct
72,0.1610,256.33,9,1.595,0.444,0.036,0.0256,0.0579,0.476,0.476,0.00,1.0,0.000,0.000,0.000,0.400,0.173,0.396,0.432
73,0.4449,2402.35,11,8.615,0.727,0.027,0.0264,0.0541,0.500,0.500,0.00,1.0,0.000,0.000,0.000,0.402,0.171,0.402,0.427
74,-0.0688,-176.91,8,-1.854,0.375,0.056,0.0262,0.0509,0.488,0.488,0.00,1.0,0.000,0.000,0.000,0.403,0.170,0.408,0.422
75,-0.6141,-2157.71,8,-15.448,0.375,0.222,0.0207,0.0480,0.476,0.476,-653.78,2.0,-62.916,0.111,0.081,0.405,0.169,0.413,0.418
76,-0.1755,-879.07,10,-3.553,0.400,0.106,0.0204,0.0447,0.495,0.495,123.65,1.3333333333333333,-1.465,0.500,0.023,0.401,0.168,0.419,0.413
77,-0.0316,-59.69,10,-0.301,0.400,0.083,0.0226,0.0427,0.483,0.483,-260.44,2.3333333333333335,-1.712,0.222,0.061,0.397,0.168,0.424,0.408
78,-0.0187,-77.59,9,-0.351,0.444,0.063,0.0252,0.0408,0.497,0.497,397.93,1.6666666666666667,2.327,0.444,0.038,0.393,0.168,0.428,0.404
79,0.1244,-42.68,7,-1.269,0.571,0.015,0.0183,0.0389,0.485,0.485,543.34,2.3333333333333335,2.053,0.444,0.020,0.395,0.169,0.428,0.403
80,0.0627,35.17,3,1.385,0.667,0.015,0.0187,0.0366,0.473,0.473,125.16,0.6666666666666666,4.022,0.167,0.002,0.398,0.169,0.426,0.405
81,0.0307,-16.97,8,-0.061,0.500,0.102,0.0229,0.0358,0.461,0.461,-77.80,0.6666666666666666,0.000,0.333,0.016,0.396,0.168,0.425,0.406
82,0.2058,174.89,2,18.572,1.000,0.000,0.0200,0.0341,0.493,0.493,-31.02,0.6666666666666666,-23.463,0.000,0.003,0.398,0.168,0.422,0.410
83,0.0017,-184.62,6,-5.247,0.500,0.027,0.0253,0.0329,0.480,0.480,-197.84,0.6666666666666666,0.000,0.333,0.028,0.399,0.167,0.419,0.414
84,-0.2569,-985.02,7,-22.411,0.143,0.099,0.0228,0.0317,0.468,0.468,0.00,1.0,0.000,0.000,0.000,0.396,0.167,0.420,0.413
85,0.0212,-120.15,3,-2.662,0.667,0.038,0.0187,0.0299,0.490,0.490,-381.99,0.3333333333333333,0.000,0.000,0.038,0.397,0.166,0.418,0.416
86,0.1544,572.47,9,3.704,0.444,0.029,0.0208,0.0282,0.478,0.478,-126.28,0.6666666666666666,0.000,0.000,0.013,0.394,0.165,0.418,0.417
87,-0.1611,-856.90,5,-23.935,0.200,0.090,0.0213,0.0271,0.493,0.493,-1165.17,1.0,0.000,0.000,0.117,0.392,0.164,0.418,0.417
88,0.2543,383.28,8,4.102,0.750,0.037,0.0247,0.0260,0.480,0.480,0.00,0.3333333333333333,0.000,0.000,0.000,0.390,0.164,0.417,0.419
89,-0.1693,-628.30,7,-6.114,0.429,0.084,0.0169,0.0248,0.468,0.468,-21.31,0.6666666666666666,-6.750,0.000,0.002,0.387,0.163,0.416,0.421
90,0.1174,355.74,5,4.448,0.600,0.043,0.0220,0.0239,0.457,0.457,-136.42,0.6666666666666666,0.000,0.000,0.014,0.387,0.164,0.413,0.423
91,0.2245,581.09,6,10.641,0.500,0.008,0.0205,0.0231,0.497,0.497,-47.16,1.0,0.000,0.333,0.033,0.389,0.164,0.414,0.422
92,-0.0106,-196.57,4,-14.952,0.250,0.020,0.0179,0.0227,0.485,0.485,223.57,1.0,0.000,0.333,0.000,0.393,0.165,0.415,0.420
93,-0.2692,-827.94,11,-5.130,0.455,0.108,0.0151,0.0220,0.473,0.473,39.25,1.0,0.000,0.333,0.020,0.392,0.164,0.420,0.416
94,-0.3668,-1094.01,9,-6.866,0.333,0.122,0.0246,0.0222,0.461,0.461,0.00,1.0,0.000,0.000,0.000,0.386,0.163,0.424,0.413
95,0.2628,798.81,8,7.529,0.750,0.026,0.0221,0.0221,0.450,0.450,0.00,1.0,0.000,0.000,0.000,0.380,0.162,0.428,0.410
96,-0.0072,-320.23,12,-2.293,0.417,0.064,0.0166,0.0215,0.439,0.439,0.00,1.0,0.000,0.000,0.000,0.374,0.162,0.432,0.407
97,-0.0302,-261.32,8,-3.377,0.375,0.032,0.0202,0.0212,0.495,0.495,0.00,1.0,0.000,0.000,0.000,0.368,0.161,0.437,0.403
98,-0.0803,-508.43,8,-6.939,0.125,0.072,0.0188,0.0209,0.483,0.483,-107.13,1.0,0.000,0.333,0.039,0.363,0.160,0.440,0.400
99,-0.0564,-252.85,9,-3.911,0.444,0.038,0.0326,0.0212,0.497,0.497,-140.12,1.0,-2.587,0.222,0.018,0.365,0.160,0.438,0.402
100,0.4405,922.58,7,7.420,0.571,0.033,0.0194,0.0211,0.485,0.485,0.00,0.0,0.000,0.000,0.000,0.377,0.164,0.435,0.401
101,0.0117,-314.48,5,-10.495,0.200,0.031,0.0189,0.0211,0.500,0.500,8.96,0.3333333333333333,0.000,0.333,0.000,0.388,0.167,0.431,0.402
102,-0.0313,-211.72,4,-10.660,0.250,0.021,0.0175,0.0209,0.488,0.488,-339.24,1.6666666666666667,-10.638,0.000,0.034,0.402,0.172,0.427,0.401
103,-0.0359,-314.04,5,-9.799,0.200,0.033,0.0253,0.0209,0.476,0.476,31.08,1.3333333333333333,75.753,0.333,0.031,0.411,0.174,0.424,0.401
104,-0.1389,-895.91,4,-14.666,0.250,0.090,0.0190,0.0209,0.490,0.490,-465.65,1.6666666666666667,-14.956,0.333,0.059,0.413,0.175,0.424,0.401
105,0.0277,31.99,4,0.833,0.250,0.015,0.0171,0.0208,0.478,0.478,768.02,1.3333333333333333,19.455,1.000,0.000,0.411,0.176,0.427,0.397
106,0.1515,488.76,5,3.843,0.200,0.036,0.0189,0.0207,0.466,0.466,-687.62,1.6666666666666667,-2.636,0.444,0.086,0.410,0.176,0.429,0.395
107,-0.0981,-594.14,7,-7.913,0.429,0.063,0.0165,0.0205,0.497,0.497,-39.20,1.0,0.000,0.000,0.004,0.404,0.175,0.434,0.391
108,0.0978,-51.61,5,-2.158,0.400,0.016,0.0200,0.0203,0.485,0.485,-171.46,1.3333333333333333,-7.857,0.333,0.028,0.403,0.176,0.436,0.389
109,0.0417,389.99,6,3.045,0.667,0.074,0.0146,0.0200,0.473,0.473,-1085.94,1.3333333333333333,-0.977,0.167,0.125,0.399,0.175,0.438,0.386
110,-0.0510,-69.84,7,-0.449,0.143,0.051,0.0219,0.0201,0.461,0.461,273.48,1.0,0.000,0.667,0.000,0.394,0.174,0.441,0.385
111,0.1624,608.37,12,4.307,0.667,0.020,0.0165,0.0200,0.493,0.493,-240.65,0.6666666666666666,0.000,0.333,0.032,0.395,0.174,0.440,0.387
112,-0.0083,-284.92,2,-62.674,0.000,0.028,0.0116,0.0196,0.480,0.480,0.00,0.0,0.000,0.000,0.000,0.399,0.174,0.436,0.390
113,-0.2248,-712.96,7,-9.797,0.143,0.088,0.0152,0.0192,0.468,0.468,128.94,0.3333333333333333,0.000,0.333,0.000,0.400,0.173,0.433,0.394
114,-0.0043,-362.44,7,-3.116,0.429,0.059,0.0167,0.0192,0.457,0.457,0.00,1.0,0.000,0.000,0.000,0.396,0.173,0.436,0.392
115,-0.1506,-635.76,9,-5.448,0.333,0.078,0.0224,0.0192,0.446,0.446,59.25,1.0,0.000,0.333,0.017,0.391,0.172,0.440,0.389
116,-0.3856,-1227.66,10,-11.870,0.300,0.123,0.0155,0.0190,0.493,0.493,-40.46,1.0,0.000,0.333,0.008,0.386,0.171,0.443,0.386
117,-0.3018,-1198.45,12,-4.414,0.333,0.159,0.0181,0.0190,0.480,0.480,-418.54,1.0,0.000,0.000,0.042,0.381,0.170,0.447,0.383
118,0.3614,1964.08,12,3.773,0.333,0.037,0.0158,0.0190,0.495,0.495,192.55,1.0,0.000,0.667,0.036,0.377,0.170,0.450,0.380
119,0.5279,2636.98,10,6.003,0.600,0.054,0.0140,0.0186,0.483,0.483,-679.03,2.6666666666666665,-29.035,0.222,0.077,0.372,0.169,0.454,0.377
120,0.2443,808.81,10,3.681,0.500,0.046,0.0199,0.0185,0.497,0.497,-274.70,5.333333333333333,-2.721,0.583,0.071,0.370,0.169,0.457,0.374
121,-0.1057,-1215.99,8,-7.252,0.250,0.136,0.0151,0.0185,0.485,0.485,401.24,7.666666666666667,3.038,0.629,0.055,0.371,0.170,0.459,0.371
122,-0.3439,-812.71,10,-9.900,0.200,0.096,0.0286,0.0188,0.473,0.473,-57.11,2.0,-0.866,0.500,0.027,0.367,0.169,0.462,0.369
123,0.1177,-49.83,11,-0.492,0.545,0.052,0.0151,0.0186,0.461,0.461,-399.90,1.3333333333333333,-3.832,0.167,0.048,0.364,0.169,0.465,0.366
124,-0.0219,-540.45,11,-1.816,0.727,0.135,0.0144,0.0179,0.490,0.490,-580.40,2.3333333333333335,-23.165,0.167,0.066,0.360,0.168,0.468,0.363
125,-0.0457,-396.37,10,-8.463,0.300,0.040,0.0165,0.0178,0.478,0.478,144.87,2.0,9.444,0.667,0.008,0.357,0.168,0.471,0.361
126,-0.4536,-1301.89,8,-18.609,0.125,0.130,0.0146,0.0176,0.493,0.493,-706.76,1.6666666666666667,-23.753,0.000,0.071,0.353,0.167,0.474,0.358
127,0.0098,-270.34,12,-1.501,0.583,0.105,0.0184,0.0177,0.480,0.480,184.07,1.3333333333333333,9.323,0.667,0.000,0.350,0.167,0.477,0.356
128,0.2609,829.98,8,4.972,0.375,0.027,0.0146,0.0172,0.500,0.500,-853.59,2.0,-9.302,0.111,0.098,0.346,0.166,0.480,0.353
129,-0.2022,-951.99,9,-5.206,0.222,0.146,0.0167,0.0171,0.488,0.488,-294.00,9.0,-2.099,0.406,0.074,0.350,0.168,0.481,0.351
130,0.1114,111.97,2,5.301,0.500,0.011,0.0127,0.0170,0.476,0.476,-427.27,8.666666666666666,-3.762,0.321,0.077,0.359,0.172,0.479,0.349
131,-0.1625,-963.80,6,-6.597,0.500,0.146,0.0138,0.0168,0.464,0.464,-617.08,12.0,-2.436,0.472,0.149,0.363,0.174,0.479,0.347
132,0.3295,1270.67,7,6.522,0.714,0.026,0.0169,0.0168,0.452,0.452,-785.50,7.333333333333333,-2.361,0.362,0.110,0.367,0.175,0.479,0.346
133,-0.0602,2.72,10,0.030,0.400,0.044,0.0095,0.0164,0.441,0.441,443.65,3.0,8.473,0.583,0.008,0.367,0.176,0.478,0.346
