episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
86,-0.008,171.84,4,5.784,0.500,0.012,0.023,0.033,0.901,0.00,0.0,0.000,0.000,0.000
87,-0.029,200.59,5,3.181,0.800,0.034,0.009,0.030,0.900,0.00,0.0,0.000,0.000,0.000
88,-0.044,-208.51,5,-2.785,0.400,0.039,0.013,0.029,0.899,0.00,0.0,0.000,0.000,0.000
89,0.028,80.78,5,1.393,0.200,0.020,0.022,0.027,0.898,20.93,0.4,0.000,0.200,0.007
90,0.055,-363.84,3,-35.979,0.000,0.036,0.021,0.026,0.897,0.00,0.0,0.000,0.000,0.000
91,0.012,-54.52,5,-0.691,0.400,0.043,0.012,0.025,0.896,0.00,0.0,0.000,0.000,0.000
92,0.013,-73.45,7,-2.327,0.571,0.019,0.012,0.023,0.895,0.00,0.0,0.000,0.000,0.000
93,-0.033,-316.54,3,-11.377,0.333,0.032,0.014,0.022,0.894,0.00,0.0,0.000,0.000,0.000
94,-0.022,281.87,7,3.578,0.429,0.023,0.020,0.022,0.892,0.00,0.0,0.000,0.000,0.000
95,0.002,417.74,4,4.675,0.250,0.021,0.012,0.020,0.891,0.00,0.0,0.000,0.000,0.000
96,-0.030,-489.13,5,-5.208,0.400,0.072,0.013,0.020,0.890,0.00,0.0,0.000,0.000,0.000
97,-0.124,-767.59,5,-9.292,0.200,0.083,0.015,0.019,0.890,-40.53,0.2,0.000,0.000,0.004
98,-0.109,-1100.72,5,-7.941,0.400,0.120,0.022,0.019,0.889,0.00,0.0,0.000,0.000,0.000
99,-0.001,-140.04,5,-2.646,0.200,0.038,0.016,0.019,0.887,0.00,0.0,0.000,0.000,0.000
100,0.017,-373.32,5,-4.729,0.400,0.069,0.014,0.018,0.886,47.70,0.2,0.000,0.200,0.000
