episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
128,1846.61,2134.79,2320.32,2265.85,0.780,1.000,15,4.6,0.467,4.636,11.721,0.000456,0.496
129,-1190.31,739.31,1182.38,1125.05,0.800,1.000,17,3.8,0.529,-3.922,9.880,0.000449,0.494
130,-702.39,848.54,848.54,848.54,0.500,1.000,18,2.0,0.556,-1.610,8.768,0.000430,0.490
131,2324.40,0.00,0.00,0.00,0.000,0.000,24,0.0,0.708,8.767,0.000,0.000442,0.497
132,639.62,0.00,0.00,0.00,0.000,0.000,24,0.0,0.625,1.567,0.000,0.000459,0.493
133,1431.90,0.00,0.00,0.00,0.000,0.000,19,0.0,0.684,3.798,0.000,0.000481,0.488
134,278.54,0.00,0.00,0.00,0.000,0.000,24,0.0,0.417,0.789,0.000,0.000466,0.484
135,766.57,63.10,0.00,12.62,0.200,0.200,13,0.2,0.692,2.779,0.000,0.000446,0.479
136,641.29,0.00,0.00,0.00,0.000,0.000,24,0.0,0.583,2.515,0.000,0.000471,0.475
137,738.12,1835.63,1835.63,1889.36,0.747,1.000,21,9.4,0.571,3.296,6.487,0.000408,0.488
138,-385.80,396.86,396.86,396.86,1.000,1.000,21,3.0,0.381,-1.397,74.820,0.000414,0.491
139,-544.91,0.00,0.00,0.00,0.000,0.000,19,0.0,0.421,-2.838,0.000,0.000483,0.494
140,-298.47,0.00,0.00,0.00,0.000,0.000,15,0.0,0.600,-0.807,0.000,0.000472,0.497
141,-31.16,2910.29,2560.60,2449.04,0.786,1.000,17,6.4,0.471,-0.136,11.603,0.000431,0.462
142,-963.03,1218.79,1218.79,1090.26,0.710,1.000,16,6.0,0.312,-4.872,6.858,0.000452,0.469
143,86.99,330.71,330.71,330.71,1.000,1.000,19,1.0,0.579,0.215,0.000,0.000416,0.471
144,-988.42,-480.11,-333.48,-234.94,0.667,0.000,20,3.2,0.350,-3.651,-5.046,0.000419,0.498
145,749.55,2911.48,2911.48,2911.48,0.750,1.000,16,4.0,0.500,3.592,16.823,0.000414,0.496
146,95.71,1422.69,1268.54,1216.85,0.620,1.000,18,11.6,0.500,0.515,8.002,0.000431,0.498
147,-973.30,1619.20,1619.20,1544.50,0.593,1.000,18,14.2,0.500,-1.961,4.930,0.000406,0.496
148,221.16,-755.90,-755.90,-699.78,0.420,0.000,13,4.8,0.462,1.466,-4.154,0.000431,0.491
149,1287.44,191.29,191.29,191.29,1.000,1.000,18,1.0,0.556,3.734,0.000,0.000460,0.457
150,2543.53,0.00,0.00,35.11,0.200,0.200,19,0.8,0.579,5.871,0.000,0.000427,0.498
