episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,quality_score
61,-0.0641,193.10,7,0.837,0.571,0.105,0.0238,0.2076,0.354,0.00,0,0.000,0.000,0.000,0,306.90,48.1
62,-0.2399,-1272.98,7,-10.065,0.286,0.139,0.0265,0.1515,0.321,0.00,1,0.000,0.000,0.000,0,1772.98,0.0
63,-0.1862,-544.48,3,-8.188,0.333,0.080,0.0244,0.1034,0.350,0.00,1,0.000,0.000,0.000,0,1044.48,0.0
64,-0.0821,-316.57,9,-2.748,0.444,0.047,0.0242,0.0707,0.318,0.00,1,0.000,0.000,0.000,0,816.57,0.8
65,0.0052,281.29,10,1.002,0.300,0.095,0.0239,0.0500,0.346,0.00,1,0.000,0.000,0.000,0,218.71,55.0
66,0.1223,435.82,11,4.084,0.636,0.031,0.0214,0.0382,0.314,1513.52,1,0.000,1.000,0.000,0,64.18,85.8
67,-0.2898,-1094.94,6,-28.831,0.000,0.109,0.0186,0.0336,0.286,0.00,1,0.000,0.000,0.000,0,1594.94,0.0
68,-0.3511,-1151.42,10,-6.784,0.400,0.115,0.0154,0.0313,0.311,0.00,1,0.000,0.000,0.000,0,1651.42,0.0
69,-0.2891,-509.95,11,-8.055,0.273,0.062,0.0168,0.0298,0.339,0.00,1,0.000,0.000,0.000,0,1009.95,0.0
70,-0.2446,-1075.53,11,-5.466,0.364,0.108,0.0180,0.0282,0.308,0.00,1,0.000,0.000,0.000,0,1575.53,0.0
71,0.1068,-62.27,5,-1.028,0.600,0.032,0.0169,0.0266,0.336,1777.32,4,9.198,0.750,0.056,0,562.27,25.0
72,-0.4108,-1023.45,8,-7.068,0.250,0.108,0.0174,0.0260,0.305,0.00,0,0.000,0.000,0.000,0,1523.45,0.0
73,0.4202,1477.82,2,10.822,0.500,0.034,0.0129,0.0251,0.277,0.00,1,0.000,0.000,0.000,1,-977.82,87.5
74,0.2241,473.69,9,3.254,0.778,0.046,0.0214,0.0244,0.302,0.00,0,0.000,0.000,0.000,0,26.31,92.3
75,-0.0215,113.49,2,8.335,0.500,0.005,0.0163,0.0234,0.329,2306.58,3,15.039,0.667,0.014,0,386.51,56.6
76,-0.0813,-86.34,11,-0.989,0.545,0.052,0.0186,0.0226,0.298,0.00,0,0.000,0.000,0.000,0,586.34,21.7
