episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
50,96.54,0.00,0.00,-407.42,0.091,0.091,13,0.5,0.538,0.822,0.000,0.004023,0.448
55,287.03,-75.81,0.00,396.41,0.268,0.455,9,1.9,0.667,2.571,4.948,0.003552,0.435
51,372.94,0.00,0.00,-407.42,0.091,0.091,10,0.5,0.500,3.480,0.000,0.000000,0.448
56,1604.16,-75.81,0.00,396.41,0.268,0.455,8,1.9,0.625,11.668,4.948,0.000000,0.435
52,-22.16,0.00,0.00,-407.42,0.091,0.091,5,0.5,0.200,-0.423,0.000,0.006205,0.444
57,-146.30,-75.81,0.00,230.47,0.109,0.455,7,2.4,0.286,-1.521,2.092,0.006447,0.431
53,-1418.45,0.00,0.00,-407.42,0.091,0.091,5,0.5,0.600,-9.051,0.000,0.004463,0.439
58,-2073.96,-75.81,0.00,312.53,0.188,0.455,10,2.4,0.300,-8.051,2.699,0.008050,0.426
54,-1385.09,0.00,0.00,-407.42,0.091,0.091,4,0.5,0.250,-16.103,0.000,0.000000,0.439
59,-400.88,-75.81,0.00,312.53,0.188,0.455,4,2.4,0.750,-5.658,2.699,0.000000,0.426
55,-1439.18,0.00,0.00,-407.42,0.091,0.091,10,0.5,0.200,-10.879,0.000,0.007055,0.500
60,-657.60,-75.81,0.00,312.66,0.215,0.455,5,2.1,0.400,-9.075,2.886,0.005586,0.422
56,686.10,0.00,0.00,-407.42,0.091,0.091,6,0.5,0.667,5.844,0.000,0.000000,0.500
61,-176.42,-75.81,0.00,312.66,0.215,0.455,7,2.1,0.571,-3.250,2.886,0.000000,0.422
57,-331.66,0.00,0.00,-407.42,0.091,0.091,12,0.5,0.250,-4.798,0.000,0.003997,0.495
62,-392.24,-75.81,0.00,312.66,0.215,0.455,4,2.1,0.250,-11.049,2.886,0.006318,0.418
58,875.35,0.00,0.00,-407.42,0.091,0.091,10,0.5,0.300,3.614,0.000,0.005847,0.490
63,626.85,-75.81,0.00,317.39,0.182,0.455,7,1.8,0.714,8.336,3.167,0.005429,0.414
59,-1144.95,0.00,0.00,-407.42,0.091,0.091,7,0.5,0.143,-12.732,0.000,0.000000,0.490
